follower_id,following_id,followed_at
USR01377,USR01722,2023-08-08 20:01:44
USR00893,USR00611,2025-12-21 02:08:41
USR02928,USR03410,2024-11-12 04:59:33
USR02864,USR03043,2024-04-20 11:54:51
USR03117,USR05280,2023-05-23 18:48:27
USR03373,USR01141,2025-07-18 01:00:15
USR05230,USR02745,2023-04-10 00:13:07
USR01709,USR04134,2023-09-04 21:22:02
USR01035,USR02226,2025-07-06 00:18:46
USR05293,USR06425,2025-02-28 03:37:30
USR02863,USR02843,2025-09-02 17:56:44
USR06295,USR03780,2024-09-26 05:38:33
USR01622,USR01170,2025-07-11 08:21:14
USR03655,USR03998,2025-12-11 07:27:36
USR00348,USR06326,2025-06-23 21:19:45
USR04337,USR06510,2024-09-19 02:33:14
USR06823,USR06654,2026-01-23 23:21:13
USR01748,USR03682,2022-06-07 10:36:20
USR03819,USR05732,2025-03-09 12:59:44
USR00699,USR06875,2024-05-29 18:31:53
USR00415,USR04255,2022-11-22 17:27:46
USR00121,USR03473,2025-06-10 16:19:13
USR01094,USR00307,2025-01-06 12:01:56
USR06859,USR03862,2023-02-13 14:45:54
USR02828,USR00242,2025-11-26 10:18:57
USR00896,USR05361,2022-03-10 11:42:08
USR05228,USR03151,2024-03-24 15:51:03
USR03096,USR03075,2023-04-10 22:17:58
USR03486,USR06901,2023-12-25 16:06:33
USR03701,USR04564,2025-05-30 21:27:05
USR02888,USR01784,2022-02-19 15:58:12
USR02377,USR06371,2025-11-29 01:27:38
USR00258,USR03487,2025-04-30 00:19:28
USR00305,USR00378,2026-02-03 12:59:32
USR06718,USR03411,2025-08-28 19:52:27
USR06906,USR00575,2025-03-06 14:28:42
USR05689,USR00332,2025-11-13 06:59:13
USR00017,USR03114,2023-07-26 12:10:03
USR04741,USR02981,2026-02-02 03:17:59
USR00544,USR02520,2023-06-18 08:36:36
USR06944,USR05595,2024-06-07 03:54:22
USR00645,USR03807,2025-05-18 07:56:24
USR06082,USR03995,2021-10-10 23:50:59
USR04069,USR00136,2025-10-14 23:02:50
USR06111,USR03017,2024-04-14 08:05:55
USR05172,USR04589,2026-01-02 07:31:39
USR03484,USR01172,2021-06-06 11:28:17
USR03774,USR06418,2025-01-28 01:39:25
USR05608,USR01178,2020-03-02 00:50:37
USR03912,USR02574,2023-03-12 02:49:06
USR01426,USR03250,2024-11-18 01:51:27
USR02177,USR02064,2021-08-16 07:17:11
USR01588,USR02501,2025-07-22 23:38:32
USR06698,USR06144,2025-09-04 22:51:38
USR02253,USR06959,2025-12-08 19:21:18
USR03845,USR00818,2025-08-12 17:43:37
USR04990,USR05143,2024-09-03 13:54:17
USR02047,USR05067,2021-12-23 12:51:18
USR01709,USR03709,2023-01-03 06:43:09
USR01674,USR02148,2022-12-29 18:31:19
USR00393,USR04093,2024-12-30 21:20:05
USR04047,USR02447,2025-06-12 19:26:57
USR04125,USR00141,2024-07-04 15:12:45
USR06222,USR05366,2025-01-12 01:32:21
USR03608,USR05124,2021-09-02 23:37:38
USR05335,USR00564,2025-03-03 19:41:01
USR05169,USR03961,2024-06-30 01:30:35
USR02882,USR00848,2025-01-04 05:10:42
USR00893,USR03470,2023-05-21 18:51:16
USR04465,USR04684,2024-11-12 13:54:33
USR03123,USR04957,2025-01-17 12:41:04
USR02228,USR04995,2020-07-07 14:29:09
USR02493,USR06572,2025-01-12 04:30:37
USR00529,USR05852,2023-11-28 23:45:57
USR03504,USR00354,2023-09-29 10:33:20
USR05439,USR04185,2025-05-17 09:40:00
USR05612,USR01013,2025-11-26 10:06:53
USR01560,USR01449,2023-11-16 00:05:26
USR01558,USR02364,2022-06-15 23:46:41
USR04476,USR03323,2025-05-01 19:37:31
USR04640,USR01472,2025-04-06 07:05:53
USR03107,USR01989,2025-12-04 00:49:51
USR03827,USR01051,2025-10-06 17:08:33
USR05164,USR03908,2025-06-08 11:29:21
USR06652,USR05306,2023-11-01 00:07:17
USR01418,USR02821,2024-12-30 12:42:57
USR02528,USR01572,2024-06-01 15:57:54
USR00524,USR04089,2024-01-24 09:07:11
USR03571,USR00629,2024-09-26 23:47:22
USR05373,USR04609,2025-06-11 03:55:56
USR06161,USR02775,2025-07-15 04:31:05
USR02078,USR02471,2025-03-18 15:27:10
USR01655,USR01748,2023-11-25 23:24:31
USR00051,USR02993,2024-08-28 06:14:07
USR00133,USR03772,2024-10-28 12:47:40
USR03835,USR05447,2023-04-18 17:57:57
USR05700,USR04133,2025-02-13 03:07:19
USR01649,USR06180,2023-09-11 16:35:29
USR00770,USR05082,2024-09-23 05:38:00
USR00364,USR05522,2021-12-19 06:15:11
USR03439,USR03370,2025-05-09 02:06:16
USR06161,USR03974,2025-03-16 18:56:06
USR06534,USR02539,2025-01-26 04:00:40
USR01181,USR01924,2025-10-22 13:43:49
USR02007,USR03230,2025-08-08 06:21:28
USR03250,USR06964,2025-07-05 16:57:31
USR03166,USR00090,2025-04-21 01:32:26
USR03312,USR05101,2024-09-20 06:58:14
USR04494,USR03879,2023-03-01 00:10:32
USR05401,USR03638,2022-07-24 14:17:38
USR04082,USR05439,2024-05-05 09:55:53
USR06667,USR01895,2025-05-31 23:10:00
USR04300,USR01779,2025-07-04 08:16:37
USR02669,USR05427,2024-10-16 02:19:27
USR03088,USR03504,2026-01-07 00:09:31
USR04656,USR03736,2025-12-18 05:22:25
USR02130,USR03631,2023-09-26 22:47:02
USR06184,USR01888,2025-05-01 05:46:20
USR01222,USR04157,2025-06-15 09:58:13
USR05494,USR04130,2025-08-17 05:04:47
USR00026,USR06183,2025-12-12 01:21:07
USR01502,USR00229,2026-02-03 00:20:14
USR03961,USR03669,2024-10-30 20:46:13
USR00113,USR00537,2026-01-14 15:14:01
USR05455,USR03715,2025-09-29 02:22:54
USR04576,USR03597,2025-07-04 08:29:20
USR02857,USR02360,2026-01-16 17:52:54
USR03146,USR01739,2026-01-01 13:22:59
