like_id,post_id,user_id,created_at
LIK000001,PST005078,USR01622,2022-08-19 03:00:55
LIK000002,PST003577,USR06838,2025-11-06 13:33:40
LIK000003,PST000811,USR05979,2025-06-04 07:53:46
LIK000004,PST003073,USR05564,2026-01-30 19:07:53
LIK000005,PST009334,USR03258,2025-10-06 22:50:36
LIK000006,PST000931,USR00669,2025-10-01 10:32:24
LIK000007,PST002271,USR02388,2026-01-14 12:19:11
LIK000008,PST008078,USR00663,2026-01-31 12:03:48
LIK000009,PST002220,USR00279,2026-01-19 20:20:23
LIK000010,PST004572,USR03350,2023-04-19 10:42:13
LIK000011,PST000073,USR06452,2025-10-27 00:47:43
LIK000012,PST006299,USR04359,2025-07-26 04:01:36
LIK000013,PST005070,USR00217,2025-08-25 16:19:53
LIK000014,PST005184,USR06605,2025-10-25 01:24:35
LIK000015,PST001766,USR02747,2025-06-22 15:45:19
LIK000016,PST004103,USR00769,2025-08-17 06:24:17
LIK000017,PST002159,USR03120,2025-03-03 16:07:00
LIK000018,PST009956,USR01724,2021-09-22 08:42:24
LIK000019,PST001039,USR01305,2026-01-22 06:25:04
LIK000020,PST003195,USR06856,2025-05-27 15:14:26
LIK000021,PST008211,USR04206,2025-11-23 13:50:51
LIK000022,PST005896,USR00258,2025-05-31 04:49:26
LIK000023,PST006260,USR02769,2025-10-12 01:24:42
LIK000024,PST007425,USR02354,2025-06-18 08:17:43
LIK000025,PST003661,USR04305,2025-06-01 05:39:36
LIK000026,PST002723,USR06033,2025-12-27 04:44:55
LIK000027,PST002889,USR05332,2022-07-12 06:17:44
LIK000028,PST004522,USR06123,2025-03-28 05:31:41
LIK000029,PST009816,USR06528,2025-11-03 14:45:48
LIK000030,PST000624,USR06898,2025-12-19 16:59:10
LIK000031,PST001895,USR06500,2024-05-21 21:56:30
LIK000032,PST009846,USR02995,2026-01-26 01:03:29
LIK000033,PST002371,USR05693,2024-02-28 01:31:36
LIK000034,PST008272,USR04579,2026-02-03 14:11:33
LIK000035,PST004498,USR00204,2025-10-07 08:57:18
LIK000036,PST005936,USR01315,2025-07-30 23:05:12
LIK000037,PST009440,USR01249,2025-11-25 05:18:18
LIK000038,PST007936,USR00688,2024-02-29 08:56:41
LIK000039,PST001533,USR04328,2025-07-28 22:47:21
LIK000040,PST000164,USR01744,2025-04-12 18:23:41
LIK000041,PST008341,USR01877,2025-11-26 11:35:44
LIK000042,PST002130,USR05324,2024-12-19 11:23:01
LIK000043,PST003357,USR06218,2025-03-16 06:53:50
LIK000044,PST008931,USR05354,2025-10-31 16:17:41
LIK000045,PST008713,USR00191,2023-10-15 23:52:27
LIK000046,PST002097,USR02015,2026-01-20 01:42:54
LIK000047,PST004098,USR06178,2025-09-15 22:31:52
