post_id,hashtag_id
PST000572,HSH006
PST008706,HSH010
PST005523,HSH008
PST009559,HSH007
PST007777,HSH001
PST004674,HSH005
PST008957,HSH005
PST003020,HSH002
PST000305,HSH004
PST000749,HSH009
PST000428,HSH004
PST009402,HSH006
PST001338,HSH010
PST009630,HSH010
PST006635,HSH004
PST007137,HSH006
PST008084,HSH001
PST007614,HSH009
PST003049,HSH001
PST001472,HSH002
PST009454,HSH007
PST000361,HSH003
PST000182,HSH007
PST009450,HSH009
PST000634,HSH008
PST009228,HSH010
PST001287,HSH007
PST007575,HSH006
PST000060,HSH006
PST002212,HSH010
PST001369,HSH010
PST009588,HSH004
PST000123,HSH006
PST000996,HSH007
PST000711,HSH003
PST004586,HSH010
PST001504,HSH010
PST007045,HSH008
PST000972,HSH009
PST000684,HSH008
PST003413,HSH008
PST008713,HSH001
PST007649,HSH005
PST004486,HSH008
PST009338,HSH010
PST001766,HSH009
PST000097,HSH005
PST002237,HSH007
PST003172,HSH003
PST001709,HSH009
PST008549,HSH008
PST009246,HSH008
PST004277,HSH001
PST009481,HSH007
PST004732,HSH009
PST005671,HSH005
PST005528,HSH001
PST004091,HSH003
PST002929,HSH006
PST002331,HSH004
PST007266,HSH010
PST007178,HSH001
PST007729,HSH005
PST007741,HSH001
PST009384,HSH006
PST000309,HSH005
PST004533,HSH005
PST006770,HSH010
PST002393,HSH007
PST007613,HSH007
PST000153,HSH003
PST000891,HSH005
PST005302,HSH001
PST006953,HSH005
PST008057,HSH001
PST003286,HSH010
PST002976,HSH008
PST009806,HSH008
PST004557,HSH003
PST009428,HSH007
PST008480,HSH008
PST004676,HSH004
PST006735,HSH006
PST005630,HSH006
PST006152,HSH003
PST007136,HSH009
PST008081,HSH001
PST004498,HSH008
PST000550,HSH001
PST001338,HSH001
PST001634,HSH001
PST004256,HSH006
PST007564,HSH009
PST008193,HSH008
PST002194,HSH006
PST002480,HSH003
PST006767,HSH007
PST002656,HSH008
PST000253,HSH007
PST009103,HSH003
PST004031,HSH005
PST008080,HSH010
PST006253,HSH010
PST002112,HSH007
PST003397,HSH002
PST008711,HSH005
PST005655,HSH004
PST009367,HSH008
PST003075,HSH002
PST007981,HSH006
PST004723,HSH002
PST003458,HSH003
PST002866,HSH003
PST003376,HSH008
PST003787,HSH002
PST009008,HSH010
PST007208,HSH009
PST001425,HSH003
PST007091,HSH002
PST006221,HSH004
PST002049,HSH004
PST008565,HSH001
PST000893,HSH006
PST001946,HSH004
PST002433,HSH001
PST003320,HSH003
PST009859,HSH002
PST001894,HSH002
PST002956,HSH001
PST000215,HSH008
PST004437,HSH006
PST005921,HSH003
PST005365,HSH007
PST008697,HSH004
PST003699,HSH007
PST001954,HSH005
PST007320,HSH009
PST008044,HSH006
PST007116,HSH003
PST001298,HSH010
PST000461,HSH009
PST005349,HSH004
PST005736,HSH006
PST007976,HSH006
PST004866,HSH010
PST007640,HSH008
PST006267,HSH005
PST009007,HSH002
PST002690,HSH007
PST008630,HSH008
PST001560,HSH008
PST004397,HSH008
PST002064,HSH001
PST007375,HSH009
PST009496,HSH002
PST004267,HSH010
PST009521,HSH007
PST007064,HSH005
PST002827,HSH005
PST005984,HSH004
PST003320,HSH005
PST002012,HSH001
PST007517,HSH007
PST007172,HSH003
PST002769,HSH002
PST006714,HSH001
PST002231,HSH007
PST001684,HSH003
PST003782,HSH006
PST005236,HSH005
PST005647,HSH001
PST002704,HSH002
PST001846,HSH010
PST009182,HSH006
PST008841,HSH001
PST006628,HSH009
PST008624,HSH009
PST008401,HSH002
PST006100,HSH002
PST006958,HSH008
PST001290,HSH005
PST009971,HSH005
PST006323,HSH001
PST004436,HSH004
PST009541,HSH002
PST006282,HSH009
PST003843,HSH004
PST003095,HSH001
PST002970,HSH005
PST009039,HSH001
PST006209,HSH006
PST004624,HSH010
PST004535,HSH003
PST004797,HSH005
PST005410,HSH002
PST008633,HSH008
PST009764,HSH006
PST000753,HSH006
PST009631,HSH003
PST001220,HSH008
PST005716,HSH010
PST009813,HSH004
PST007461,HSH007
PST007440,HSH005
PST003175,HSH010
PST005350,HSH006
PST004379,HSH005
PST008480,HSH008
PST008000,HSH005
PST001356,HSH007
PST005797,HSH009
PST001221,HSH009
PST005319,HSH004
PST002081,HSH003
PST001753,HSH007
PST000406,HSH002
PST006171,HSH009
PST008526,HSH005
PST003808,HSH009
PST005107,HSH006
PST000834,HSH006
PST003286,HSH006
PST002359,HSH002
PST005896,HSH003
PST008959,HSH007
PST009579,HSH002
PST001823,HSH010
PST008110,HSH010
PST005328,HSH005
PST000522,HSH010
PST000355,HSH010
PST003236,HSH009
PST002154,HSH005
PST002533,HSH005
PST009547,HSH001
PST003405,HSH003
PST004276,HSH010
PST001667,HSH007
PST001116,HSH009
PST000359,HSH003
PST004720,HSH002
PST001678,HSH010
PST003521,HSH005
PST005986,HSH005
PST008874,HSH006
PST005270,HSH007
PST004080,HSH003
PST006033,HSH006
PST007777,HSH002
PST003093,HSH007
PST003046,HSH009
PST000071,HSH009
PST004688,HSH007
PST004109,HSH009
PST005422,HSH006
PST005728,HSH007
PST009511,HSH002
PST005973,HSH004
PST008854,HSH001
PST001242,HSH008
PST008186,HSH004
PST008854,HSH005
PST003974,HSH001
PST001459,HSH002
PST001834,HSH009
PST003533,HSH003
PST002276,HSH004
PST009012,HSH005
PST003661,HSH010
PST007799,HSH005
PST005745,HSH007
PST004957,HSH008
PST001034,HSH002
PST004856,HSH008
PST003772,HSH010
PST009182,HSH004
PST006388,HSH001
PST002555,HSH010
PST003924,HSH006
PST002197,HSH009
PST004839,HSH006
PST001271,HSH003
PST005905,HSH009
PST004107,HSH002
PST000270,HSH009
PST004169,HSH006
PST003872,HSH010
PST002164,HSH005
PST000289,HSH006
PST007539,HSH006
PST001055,HSH002
PST004682,HSH009
PST009034,HSH010
PST002660,HSH007
PST008172,HSH003
PST006853,HSH001
PST002218,HSH006
PST004351,HSH007
PST009172,HSH007
PST005095,HSH001
PST009818,HSH005
PST001232,HSH001
PST005973,HSH002
PST005935,HSH002
PST006759,HSH005
PST006367,HSH002
PST008635,HSH010
PST005627,HSH008
PST003761,HSH002
PST001568,HSH001
PST002174,HSH008
PST008175,HSH007
PST003721,HSH003
PST009848,HSH006
PST006627,HSH006
PST009760,HSH008
PST007074,HSH004
PST004165,HSH004
PST003489,HSH010
PST000461,HSH010
PST000453,HSH009
PST005215,HSH001
PST002522,HSH006
PST008278,HSH008
PST000228,HSH002
PST005491,HSH008
PST001730,HSH008
PST004937,HSH001
PST007815,HSH002
PST004523,HSH004
PST006534,HSH005
PST006799,HSH001
PST001239,HSH003
PST008751,HSH001
PST001356,HSH010
PST001997,HSH003
PST005945,HSH006
PST000814,HSH007
PST002856,HSH001
PST007311,HSH007
PST001949,HSH006
PST000885,HSH002
PST002409,HSH004
PST009155,HSH005
PST002653,HSH006
PST006592,HSH001
PST004576,HSH009
PST005982,HSH008
PST005702,HSH007
PST000349,HSH010
PST007081,HSH003
PST005096,HSH008
PST003401,HSH001
PST009918,HSH001
PST001366,HSH005
PST006355,HSH005
PST008236,HSH002
PST009918,HSH005
PST005897,HSH006
PST006534,HSH007
PST006479,HSH010
PST000283,HSH010
PST004777,HSH004
PST000294,HSH008
PST004610,HSH004
PST009468,HSH007
PST000614,HSH005
PST005806,HSH007
PST001327,HSH007
PST002340,HSH003
PST000021,HSH003
PST006189,HSH010
PST009943,HSH002
PST005512,HSH010
PST004770,HSH004
PST009562,HSH003
PST006093,HSH005
PST004730,HSH005
PST008088,HSH002
PST002781,HSH008
PST009244,HSH007
PST001974,HSH003
PST007570,HSH010
PST009895,HSH006
PST003027,HSH001
PST002616,HSH009
PST008771,HSH005
PST003109,HSH001
PST006846,HSH005
PST008745,HSH004
PST001532,HSH010
PST008416,HSH002
PST001001,HSH003
PST007819,HSH008
PST004524,HSH007
PST007084,HSH008
PST005818,HSH010
PST007354,HSH009
PST005085,HSH001
PST006553,HSH001
PST001566,HSH001
PST006779,HSH001
PST008645,HSH002
PST004119,HSH004
PST008903,HSH008
PST000421,HSH010
PST004696,HSH008
PST006042,HSH007
PST003347,HSH001
PST008374,HSH006
PST006955,HSH005
PST007414,HSH010
PST003774,HSH010
PST001660,HSH005
PST002843,HSH010
PST004022,HSH007
PST005333,HSH010
PST003155,HSH009
PST003920,HSH007
PST003990,HSH004
PST002822,HSH009
PST003460,HSH002
PST005203,HSH001
PST005186,HSH002
PST001398,HSH010
PST009628,HSH003
PST001941,HSH007
PST000378,HSH010
PST009005,HSH002
PST006020,HSH006
PST003637,HSH001
PST001212,HSH004
PST005014,HSH005
PST005313,HSH002
PST004500,HSH009
PST006597,HSH004
PST007596,HSH007
PST006549,HSH007
PST000741,HSH003
PST005838,HSH005
PST003382,HSH010
PST008541,HSH001
PST008592,HSH001
PST002986,HSH005
PST008660,HSH004
PST004464,HSH009
PST001321,HSH005
PST004700,HSH002
PST001873,HSH010
PST003885,HSH002
PST007294,HSH007
PST003987,HSH004
PST001985,HSH009
PST008082,HSH004
PST004762,HSH009
PST005690,HSH009
PST004105,HSH010
PST008992,HSH002
PST000154,HSH005
PST007172,HSH004
PST002268,HSH001
PST005252,HSH010
PST002692,HSH007
PST002428,HSH001
PST006794,HSH001
PST003130,HSH010
PST003181,HSH004
PST008504,HSH001
PST007125,HSH003
PST005974,HSH005
PST004791,HSH008
PST005514,HSH008
PST000336,HSH007
PST000079,HSH008
PST004976,HSH010
PST009197,HSH005
PST008872,HSH002
PST003860,HSH005
PST004855,HSH010
PST007476,HSH004
PST008499,HSH004
PST002342,HSH004
PST001998,HSH007
PST005886,HSH008
PST006586,HSH006
PST004198,HSH004
PST000107,HSH006
PST008245,HSH005
PST005374,HSH003
PST004355,HSH002
PST002008,HSH002
PST003365,HSH002
PST005972,HSH004
PST001234,HSH010
PST004699,HSH009
PST002743,HSH001
PST008953,HSH003
PST007840,HSH010
PST005436,HSH008
PST009718,HSH009
PST005480,HSH010
PST009562,HSH001
PST009699,HSH001
PST003574,HSH005
PST008836,HSH009
PST002422,HSH004
PST008174,HSH007
PST005829,HSH005
PST000186,HSH006
PST000161,HSH003
PST008808,HSH005
PST008100,HSH002
PST006599,HSH008
PST007167,HSH002
PST006551,HSH004
PST004399,HSH004
PST001675,HSH003
PST006038,HSH001
PST004623,HSH010
PST007969,HSH001
PST006679,HSH007
PST002815,HSH002
PST000863,HSH002
PST002709,HSH007
PST002980,HSH001
PST007533,HSH004
PST009742,HSH001
PST009557,HSH007
PST000133,HSH010
PST003692,HSH009
PST006906,HSH002
PST002484,HSH003
PST009989,HSH004
PST005905,HSH006
PST000280,HSH005
PST000432,HSH002
PST005945,HSH001
PST004360,HSH001
PST008640,HSH004
PST000877,HSH010
PST001140,HSH009
PST001246,HSH009
PST004628,HSH002
PST009485,HSH007
PST003963,HSH007
PST003350,HSH003
PST005931,HSH001
PST008214,HSH003
PST007657,HSH002
PST007537,HSH009
PST005359,HSH003
PST008010,HSH002
PST001708,HSH007
PST006775,HSH008
PST002356,HSH001
PST005848,HSH007
PST002691,HSH006
PST000388,HSH002
PST007573,HSH002
PST007367,HSH007
PST002610,HSH006
PST003155,HSH008
PST006596,HSH002
PST007268,HSH010
PST007880,HSH010
PST002204,HSH008
PST001072,HSH002
PST007744,HSH008
PST005334,HSH002
PST009314,HSH005
PST004784,HSH002
PST001999,HSH001
